group,n,bmi_min,bmi_max,bmi_median,raw_target_week,decision_week,decision_label,min_probability,mean_probability,bmi_interval,boot_n,ci_low,ci_high
1,139,20.703125,31.862241538791974,30.38832515,16.80088174227685,16.857142857142858,16周+6天,0.935386057700423,0.9506513418828186,"[20.70, 31.91)",200,14.294133838845598,18.646529335457526
2,98,31.957043995,35.747516228520496,33.45278580935545,19.422998082561193,19.428571428571427,19周+3天,0.930300209165831,0.9500561980308774,"[31.91, 35.75)",200,16.88227478884131,22.540511768130308
3,30,35.755006941666664,46.875,37.0920998175,24.076260215314306,24.142857142857142,24周+1天,0.8425374203633805,0.9505233421513014,"[35.75, 46.88]",200,18.65811917201142,32.73679269576522
