scenario,threshold,group,raw_week,decision_week,decision_label,feasible_by_25,left,interval,right
宽松阈值 4%-1σ,3.553495,1,14.80618473925498,14.857142857142858,14周+6天,True,231,31,5
宽松阈值 4%-1σ,3.553495,2,16.994309587350504,17.0,17周+0天,True,231,31,5
宽松阈值 4%-1σ,3.553495,3,20.823825074943137,20.857142857142858,20周+6天,True,231,31,5
基准阈值 4%,4.0,1,16.80088174227685,16.857142857142858,16周+6天,True,217,43,7
基准阈值 4%,4.0,2,19.42299808256119,19.428571428571427,19周+3天,True,217,43,7
基准阈值 4%,4.0,3,24.076260215314285,24.142857142857142,24周+1天,True,217,43,7
保守阈值 4%+1.645σ,4.734500725,1,20.60167176843372,20.714285714285715,20周+5天,True,191,62,14
保守阈值 4%+1.645σ,4.734500725,2,23.588473850381,23.714285714285715,23周+5天,True,191,62,14
保守阈值 4%+1.645σ,4.734500725,3,28.76382846386294,28.857142857142858,25周内不可满足（交点28周+6天）,False,191,62,14
