distribution,degree,nll,aic,bic,converged
loglogistic,2,200.96767513843182,409.93535027686363,424.28434491046465,True
lognormal,2,201.15872692252702,410.31745384505405,424.66644847865507,True
weibull,2,202.01588284331672,412.03176568663343,426.38076032023446,True
lognormal,1,203.20828478135823,412.41656956271646,423.17831553791723,True
loglogistic,1,203.2176328325979,412.4352656651958,423.19701164039657,True
weibull,1,203.730717836444,413.461435672888,424.22318164808877,True
