模型,公式,参数数,logLik,AIC,BIC,收敛
M2_孕周二次,y_pct ~ gest_week_c + I(gest_week_c ** 2) + bmi_c,5,-2403.178505477946,4818.357010955892,4848.175754975302,True
M5_孕周二次交互,y_pct ~ gest_week_c + I(gest_week_c ** 2) + bmi_c + gest_week_c:bmi_c,6,-2402.8184347233696,4819.636869446739,4854.42540413605,True
M3_双二次,y_pct ~ gest_week_c + I(gest_week_c ** 2) + bmi_c + I(bmi_c ** 2),6,-2403.069191561101,4820.138383122202,4854.926917811513,True
M6_双二次交互,y_pct ~ gest_week_c + I(gest_week_c ** 2) + bmi_c + I(bmi_c ** 2) + gest_week_c:bmi_c,7,-2402.4720441597215,4820.944088319443,4860.702413678656,True
M4_交互,y_pct ~ gest_week_c + bmi_c + gest_week_c:bmi_c,5,-2412.554422807317,4837.108845614634,4866.927589634044,True
M1_线性,y_pct ~ gest_week_c + bmi_c,4,-2413.7114154971664,4837.422830994333,4862.27178434384,True
M0_空模型,y_pct ~ 1,2,-2567.211959978143,5140.423919956286,5155.333291965991,True
