项,估计值,标准误,z值,p值,95%CI下限,95%CI上限
Intercept,7.502342178263279,0.1932186633926447,38.828247988744096,0.0,7.1236405568727275,7.881043799653831
gest_week_c,0.27216635539821743,0.01837078263866429,14.815174766991102,1.1688487303823663e-49,0.23616028305862172,0.30817242773781317
I(gest_week_c ** 2),0.016912815917643393,0.0036584571772281553,4.622936691159374,3.7834521940442887e-06,0.00974237161129414,0.024083260223992646
bmi_c,-0.14486158337446964,0.051654000652929265,-2.8044600910550117,0.005040092674392303,-0.24610156431161945,-0.04362160243731984
Group Var,2.872105413552644,0.3162916280112917,9.080560973463735,1.0801667955935904e-19,2.252185214038972,3.492025613066316
