项,估计值,标准误,z值,p值,95%CI下限,95%CI上限
Intercept,7.5279011225601735,0.19199854445089629,39.20811558280035,0.0,7.151590890352304,7.904211354768043
"C(IVF妊娠, Treatment(reference='自然受孕'))[T.IUI（人工授精）]",1.671319046774072,2.0961868979112035,0.7973139458315948,0.4252687229698755,-2.437131777996626,5.7797698715447705
"C(IVF妊娠, Treatment(reference='自然受孕'))[T.IVF（试管婴儿）]",-2.534022639185136,2.1132990206795603,-1.1990838089586993,0.23049535911427388,-6.676012608280841,1.6079673299105686
gest_week_c,0.2715474560679806,0.018336082239428137,14.809458886701064,1.2726064879973608e-49,0.2356093952611369,0.3074855168748243
I(gest_week_c ** 2),0.016090428356851028,0.0036627931866232318,4.392939359943761,1.1182832714902655e-05,0.008911485628250797,0.02326937108545126
bmi_c,-0.1425805747292562,0.05127906723059241,-2.7804830007554138,0.0054278101390431086,-0.24308569966202542,-0.04207544979648699
age_c,-0.09024921725087064,0.050145447874196794,-1.7997489518347671,0.07190028776808335,-0.18853248907292697,0.008034054571185695
gc_c,38.51394620443448,18.822286533243833,2.04618849768392,0.04073782857962304,1.6229424925832987,75.40494991628566
log_reads_c,-0.9220631495812294,0.30617149328725135,-3.0115904641590716,0.00259882952917508,-1.5221482495170888,-0.3219780496453698
map_ratio_c,-1.757937862695146,4.1650983713055325,-0.4220639480704817,0.6729783417105553,-9.921380662520427,6.405504937130136
dup_ratio_c,-12.892501311491086,22.404102500988195,-0.5754527016166984,0.5649851702572263,-56.803735319371704,31.018732696389527
filter_ratio_c,17.42842220357574,18.163881291881687,0.9595098053941444,0.33730198237919484,-18.172130947973233,53.028975355124714
Group Var,2.8305572037560935,0.3137466804534937,9.021791719564229,1.850377631500958e-19,2.215625009798249,3.445489397713938
