变量,项,系数,标准误,95%CI下限,95%CI上限,p值,单位
截距,Intercept,7.378322868711742,0.171671273118698,7.041853356218955,7.714792381204529,0.0,百分点
组内孕周差,g_within_s,0.3567058946096109,0.026676968118444267,0.30441999788073687,0.4089917913384849,8.896536270897408e-41,百分点/原始单位
组内孕周差二次项,I(g_within_s ** 2),0.03661438882515401,0.003769517249100827,0.029226270777813892,0.04400250687249413,2.6467130693056563e-22,百分点/原始单位
组间平均检测孕周,g_between_s,-0.4200434894645049,0.0749498469887129,-0.56694249020917,-0.2731444887198398,2.09065067758192e-08,百分点/原始单位
组内BMI差,bmi_within_s,-0.00636564974391175,0.10195153923130484,-0.2061869948056916,0.19345569531786813,0.9502140379687705,百分点/原始单位
组间平均BMI,bmi_between_s,-0.21742576188200227,0.05241282210280208,-0.32015300553159926,-0.1146985182324053,3.349071842576084e-05,百分点/原始单位
